GFCUS,GFCLC,GFCUN,GFCPNC,GFDAS,GFC1R,GFC2R,GFC3R,GFC4R,GFC5R,GFP1R,GFP2R,GFP3R,GFP4R,GFP5R,GFCTP,GFCUB,GFCUC,GFCUD,GFCUZ,GFSAC,GFACO,GFCRF,GFLNM,GFCA2,GFCNAP,GFCNAR,GFCNAL,GFCOD,GFDCC,GFDLM,GFITRT,GFBRNM,GFCRB1,GFCRB2,GFADJ,GFERCP,GFERCC,GFDRC,GFGRPS,GFCUNA,GFDASA,GFCUNM,GFCNAI,GFGRP,GFMTB,GFETX,GFYFON,GFDFRQ,GFFON,GFFOL,GFDEL,GFSTMP,GFCREF,GFOATP,GFOCCL,GFHDD,GFDDED,GFRDDH,GFYTRI,GFYRET,GFYPLA,GFYOPI,GFYNET,GFYRI1,GFYRI2,GFYRI3,GFYRI4,GFPCUS,GFPCLC,GFCS,GFCFRQ,GFFCYC,GFCSSA,GFPSTM,GFNSTM,GFSTN,GFOCID,GFCLSF,GFCLST,GFCLTV,GFCLTP,GFDRTY,GFMRTY,GFSEID,GFCST,GFAUNO
11121,IND,Dot Bohler,789000,Dot,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11121,01,C3,IN,IN,IN,0920509,0,1190120,0.04,1002,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122,IND,Tyrell Darcangelo,789001,Tyrell,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11122,01,C3,IN,IN,IN,0860619,0,1190225,0.01,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11123,IND,Evalyn Murrow,789002,Evalyn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11123,01,C3,IN,IN,IN,0890511,0,1190131,0.08,1019,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11124,IND,Miles Krall,789003,Miles,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11124,01,C3,IN,IN,IN,0910617,0,1190227,0.05,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11125,IND,Amado Cooksey,789004,Amado,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11125,01,C3,IN,IN,IN,0850302,0,1190315,0.07,1006,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11126,IND,Latrisha Fasching,789005,Latrisha,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11126,01,C3,IN,IN,IN,0900711,0,1190224,0.01,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11127,IND,Gianna Basco,789006,Gianna,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11127,01,C3,IN,IN,IN,0870814,0,1190308,0.06,1015,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11128,IND,Rodrigo Woodberry,789007,Rodrigo,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11128,01,C3,IN,IN,IN,0880514,0,1190228,0.02,1016,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11129,IND,Sharell Maris,789008,Sharell,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11129,01,C3,IN,IN,IN,0930415,0,1190310,0.02,1015,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130,IND,Grace Chapple,789009,Grace,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11130,01,C3,IN,IN,IN,0850510,0,1190130,0.06,1020,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11131,IND,Elida Seekins,789010,Elida,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11131,01,C3,IN,IN,IN,0920203,0,1190128,0.03,1018,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11132,IND,Jenise Burgo,789011,Jenise,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11132,01,C3,IN,IN,IN,0850608,0,1190102,0.04,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11133,IND,Miquel Coyer,789012,Miquel,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11133,01,C3,IN,IN,IN,0850421,0,1190105,0.06,1020,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11134,IND,Evelyne Torkelson,789013,Evelyne,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11134,01,C3,IN,IN,IN,0901030,0,1190224,0.06,1020,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11135,IND,Kenyatta Warrick,789014,Kenyatta,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11135,01,C3,IN,IN,IN,0960729,0,1190119,0.02,1017,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136,IND,Karlyn Mcgoldrick,789015,Karlyn,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11136,01,C3,IN,IN,IN,0850412,0,1190219,0.03,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11137,IND,Burt Mcdonell,789016,Burt,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11137,01,C3,IN,IN,IN,0910713,0,1190214,0.06,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11138,IND,Towanda Mund,789017,Towanda,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11138,01,C3,IN,IN,IN,0860914,0,1190131,0.07,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11139,IND,Sybil Lown,789018,Sybil,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11139,01,C3,IN,IN,IN,0861201,0,1190125,0.02,1024,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11140,IND,Deborah Harwood,789019,Deborah,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11140,01,C3,IN,IN,IN,0861220,0,1190108,0.05,1014,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11141,IND,Jayme Birdwell,789020,Jayme,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11141,01,C3,IN,IN,IN,0850512,0,1190219,0.07,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11142,IND,Etsuko Riehl,789021,Etsuko,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11142,01,C3,IN,IN,IN,0950803,0,1190312,0.03,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11143,IND,Winford Thiry,789022,Winford,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11143,01,C3,IN,IN,IN,0930325,0,1190125,0.01,1015,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11144,IND,Myrta Domer,789023,Myrta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11144,01,C3,IN,IN,IN,0870913,0,1190130,0.05,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11145,IND,Leora Parada,789024,Leora,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11145,01,C3,IN,IN,IN,0940611,0,1190223,0.06,1014,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146,IND,Salley Buffkin,789025,Salley,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11146,01,C3,IN,IN,IN,0850807,0,1190203,0.05,1016,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11147,IND,Jenelle Blocher,789026,Jenelle,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11147,01,C3,IN,IN,IN,0870628,0,1190203,0.01,1016,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11148,IND,Merrilee Rees,789027,Merrilee,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11148,01,C3,IN,IN,IN,0901204,0,1190308,0.08,1020,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11149,IND,Manie Robare,789028,Manie,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11149,01,C3,IN,IN,IN,0990618,0,1190125,0.07,1016,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11150,IND,Kenny Hutchins,789029,Kenny,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11150,01,C3,IN,IN,IN,0870215,0,1190228,0.08,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11151,IND,Merry Eder,789030,Merry,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11151,01,C3,IN,IN,IN,0910925,0,1190103,0.06,1004,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11152,IND,Elisa Pippenger,789031,Elisa,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11152,01,C3,IN,IN,IN,0950206,0,1190302,0.05,1019,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11153,IND,Deshawn Calton,789032,Deshawn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11153,01,C3,IN,IN,IN,0931003,0,1190222,0.05,1012,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11154,IND,Hermelinda Pinner,789033,Hermelinda,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11154,01,C3,IN,IN,IN,0960626,0,1190117,0.02,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11155,IND,Yasmin Settles,789034,Yasmin,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11155,01,C3,IN,IN,IN,0870608,0,1190111,0.07,1012,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11156,IND,Robbie Dong,789035,Robbie,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11156,01,C3,IN,IN,IN,0930823,0,1190124,0.08,1003,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11157,IND,Brittni Schaller,789036,Brittni,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11157,01,C3,IN,IN,IN,0940320,0,1190224,0.08,1004,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11158,IND,Syreeta Hamiter,789037,Syreeta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11158,01,C3,IN,IN,IN,0960127,0,1190225,0.08,1018,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11159,IND,Merlyn Kepley,789038,Merlyn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11159,01,C3,IN,IN,IN,0891003,0,1190126,0.05,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11160,IND,Clark Slama,789039,Clark,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11160,01,C3,IN,IN,IN,0950321,0,1190315,0.05,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11161,IND,Kazuko Neitzel,789040,Kazuko,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11161,01,C3,IN,IN,IN,0911001,0,1190208,0.04,1004,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11162,IND,Colene Stickley,789041,Colene,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11162,01,C3,IN,IN,IN,0991128,0,1190102,0.04,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11163,IND,Marcel Levin,789042,Marcel,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11163,01,C3,IN,IN,IN,0880809,0,1190223,0.05,1016,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11164,IND,Ellan Mikula,789043,Ellan,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11164,01,C3,IN,IN,IN,0990113,0,1190210,0.05,1011,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11165,IND,Karan Baginski,789044,Karan,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11165,01,C3,IN,IN,IN,0980502,0,1190210,0.06,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11166,IND,Edra Gammage,789045,Edra,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11166,01,C3,IN,IN,IN,0960104,0,1190224,0.01,1011,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11167,IND,Cristina Ohara,789046,Cristina,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11167,01,C3,IN,IN,IN,0920720,0,1190124,0.05,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11168,IND,Miesha Raye,789047,Miesha,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11168,01,C3,IN,IN,IN,0870921,0,1190219,0.01,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11169,IND,Carlita Markowski,789048,Carlita,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11169,01,C3,IN,IN,IN,0920409,0,1190310,0.06,1018,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170,IND,Kyoko Carnegie,789049,Kyoko,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11170,01,C3,IN,IN,IN,0861027,0,1190126,0.08,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11171,IND,Mamie Cavanaugh,789050,Mamie,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11171,01,C3,IN,IN,IN,0900502,0,1190214,0.03,1002,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172,IND,Hope Lisowski,789051,Hope,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11172,01,C3,IN,IN,IN,0860609,0,1190125,0.02,1005,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11173,IND,Luetta Veale,789052,Luetta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11173,01,C3,IN,IN,IN,0941108,0,1190225,0.01,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11174,IND,Tonia Truett,789053,Tonia,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11174,01,C3,IN,IN,IN,0861109,0,1190115,0.02,1001,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11175,IND,Ailene Shriner,789054,Ailene,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11175,01,C3,IN,IN,IN,0911104,0,1190217,0.08,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11176,IND,Hipolito Sampson,789055,Hipolito,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11176,01,C3,IN,IN,IN,0920327,0,1190302,0.05,1024,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11177,IND,Dino Hashimoto,789056,Dino,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11177,01,C3,IN,IN,IN,0991201,0,1190222,0.08,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11178,IND,Marivel Headley,789057,Marivel,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11178,01,C3,IN,IN,IN,0871119,0,1190116,0.04,1024,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11179,IND,Marcella Edgar,789058,Marcella,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11179,01,C3,IN,IN,IN,0861215,0,1190223,0.02,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11180,IND,Catharine Koehl,789059,Catharine,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11180,01,C3,IN,IN,IN,0900926,0,1190202,0.06,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181,IND,Elwanda Depaolo,789060,Elwanda,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11181,01,C3,IN,IN,IN,0930801,0,1190202,0.01,1005,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11182,IND,Tommy Varnadoe,789061,Tommy,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11182,01,C3,IN,IN,IN,0920131,0,1190302,0.07,1003,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11183,IND,Cathrine Bogle,789062,Cathrine,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11183,01,C3,IN,IN,IN,0850807,0,1190211,0.07,1012,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11184,IND,Antony Jeanpierre,789063,Antony,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11184,01,C3,IN,IN,IN,0980422,0,1190207,0.01,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11185,IND,Jaimie Schacherer,789064,Jaimie,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11185,01,C3,IN,IN,IN,0860321,0,1190202,0.02,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11186,IND,Yee Wesley,789065,Yee,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11186,01,C3,IN,IN,IN,0880609,0,1190213,0.02,1011,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11187,IND,Denisse Wess,789066,Denisse,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11187,01,C3,IN,IN,IN,0990722,0,1190119,0.03,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11188,IND,Gail Abelson,789067,Gail,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,11188,01,C3,IN,IN,IN,0910617,0,1190217,0.06,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11189,IND,Marvella Chivers,789068,Marvella,1,1,1,1,1,1,1,1,1,1,EY,0,0,0,0,AC,PAC,11189,01,C3,IN,IN,IN,0950709,0,1190202,0.02,1008,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
